Starting City,Destination City,Distance (km)
Adoni,"Govindapuram,Chilakaluripet,Guntur",308.04351632723217
Adoni,Gudivada,407.62724322028106
Adoni,Gudlavalleru,411.4303151986729
Adoni,Gudur,321.9679185137883
Adoni,Guntakal Junction,51.6481450353762
Adoni,Guntur,348.31398616130707
Adoni,Hindupur,201.4791421216035
Adoni,Ichchapuram,876.7539759504699
Adoni,Jaggayyapeta,332.60431087479765
Adoni,Jammalamadugu,147.23846101138335
Adoni,Kadiri,193.56351675597563
Adoni,Kaikalur,433.1850045470423
Adoni,Kakinada,550.0138135242555
Adoni,Kalyandurg,121.75608277526908
Adoni,Kamalapuram,188.45773493733432
Adoni,Kandukur,285.5060210228325
Adoni,Kanigiri,240.41339835668333
Adoni,Kankipadu,383.852249443313
Adoni,Kanuru,431.70573643536034
Adoni,Kavali,302.25615049147274
Adoni,Kolanukonda,368.0876529320041
Adoni,Kondapalle,366.0429734777481
Adoni,Korukollu,435.66502860084324
Adoni,Kosigi,25.47324251922842
Adoni,Kovvur,499.7597670329145
Adoni,Krishna,414.28241853565373
Adoni,Kuppam,340.1158569152072
Adoni,Kurnool,113.45619843681452
Adoni,Macherla,249.38805147582696
Adoni,Machilipatnam,417.8468686206441
Adoni,Madanapalle,266.13237588443536
Adoni,Madugula,642.3641849850355
Adoni,Mandapeta,515.4628747942479
Adoni,Mandasa,843.9369976557732
Adoni,Mangalagiri,363.0912166953107
Adoni,Markapur,213.75294455898302
Adoni,Nagari,357.2880363463112
Adoni,Nagireddipalli,247.5714466492549
Adoni,Nandigama,345.749173067911
Adoni,Nandikotkur,109.04245469874282
Adoni,Nandyal,130.54272958366025
Adoni,Narasannapeta,783.5172861391828
Adoni,Narasapur,481.15745133687574
Adoni,Narasaraopet,304.21949806016767
Adoni,Narasingapuram,314.1843280152398
Adoni,Narayanavanam,349.2676135978735
Adoni,Narsipatnam,612.1185354332669
Adoni,Nayudupet,340.4862454342241
Adoni,Nellore,301.73761026341936
Adoni,Nidadavole,490.3949239058366
Adoni,Nuzvid,402.53012741365467
Adoni,Ongole,296.98892321600607
Adoni,Pakala,312.9123825864438
Adoni,Palakollu,486.15303311572006
Adoni,Palasa,834.536563157947
Adoni,Palkonda,763.9598343134452
Adoni,Pallevada,442.2209905467402
Adoni,Palmaner,313.07997240100246
Adoni,Parlakimidi,804.0400055071677
Adoni,Parvatipuram,741.4936291390052
Adoni,Pavuluru,310.28193122982293
Adoni,Pedana,419.4927245276569
Adoni,pedda nakkalapalem,310.1160327221053
Adoni,Peddapuram,543.3250560549941
Adoni,Penugonda,490.92376148279413
Adoni,Penukonda,175.20232880928975
Adoni,Phirangipuram,327.7691870479662
Adoni,Pippara,472.3163809249831
Adoni,Pithapuram,556.2487577498332
Adoni,Polavaram,499.4991557936658
Adoni,Ponnur,353.71045901820713
Adoni,Ponnuru,353.9024649801051
Adoni,Prakasam,238.76465269392486
Adoni,Proddatur,167.90044511085003
Adoni,Pulivendla,168.5457197438467
Adoni,Punganuru,287.58811733265907
Adoni,Puttaparthi,172.56634832188027
Adoni,Puttur,345.2606536675607
Adoni,Rajahmundry,504.3236695021227
Adoni,Ramachandrapuram,524.9884932700963
Adoni,Ramanayyapeta,549.6232266419986
Adoni,Ramapuram,73.90317069767846
Adoni,Rampachodavaram,520.356091222656
Adoni,Rayachoti,235.91471357006236
Adoni,Rayadrug,112.73096808631306
Adoni,Razam,747.6550568726193
Adoni,Razampeta,257.58147973328
Adoni,Razole,496.7457135861306
Adoni,Renigunta,325.9515603563771
Adoni,Repalle,382.74555394742
Adoni,Salur,707.4347865570965
Adoni,Samalkot,546.5683793805119
Adoni,Sattenapalle,319.0965530772421
Adoni,Singarayakonda,298.3739349727624
Adoni,Sompeta,859.0585146554743
Adoni,Srikakulam,764.3075168674757
Adoni,Srisailain,177.4366118337584
Adoni,Suluru,364.5962570899863
Adoni,Tadepalle,367.81181700235754
Adoni,Tadepallegudem,472.77486424012426
Adoni,Tadpatri,112.35713842616386
Adoni,Tanuku,486.9134492575523
Adoni,Tekkali,810.2879394011691
Adoni,Tirumala,310.7690809603521
Adoni,Tirupati,319.8894654273739
Adoni,Tuni,594.016448108995
Adoni,Uravakonda,76.13206731515109
Adoni,vadlamuru,546.6907557643988
Adoni,Vadlapudi,308.6343480173477
Adoni,Venkatagiri,309.54152390820724
Adoni,Vepagunta,676.331801027632
Adoni,Vetapalem,324.9874418731378
Adoni,Vijayawada,373.2963448310473
Adoni,Vinukonda,267.85755192587675
Adoni,Visakhapatnam,671.2815603569461
Adoni,Vizianagaram,709.1272267581279
Adoni,Vizianagaram District,718.7099621605794
Adoni,Vuyyuru,390.15430148993005
Adoni,West Godavari,442.43681428091844
Adoni,Yanam,541.5107032992776
Adoni,Yanamalakuduru,374.8337026157969
Adoni,Yarada,677.7959435687571
Akasahebpet,Akividu,162.43092044904063
Akasahebpet,Akkarampalle,545.1561637920175
Akasahebpet,Amalapuram,118.91983202875585
Akasahebpet,Amudalavalasa,173.61529392456532
Akasahebpet,Anakapalle,50.8566315441993
Akasahebpet,Anantapur,640.847600654804
Akasahebpet,Atmakur,460.61479991213764
Akasahebpet,Attili,136.17101593432005
Akasahebpet,Avanigadda,240.78160313521383
Akasahebpet,Badvel,483.8784545080175
Akasahebpet,Banganapalle,522.7972513548862
Akasahebpet,Bapatla,285.6804218404462
Akasahebpet,Betamcherla,523.448883738737
Akasahebpet,Bhattiprolu,245.78734181017296
Akasahebpet,Bhimavaram,154.19497334901584
Akasahebpet,Bhimunipatnam,103.192812422302
Akasahebpet,Bobbili,145.48792295840724
Akasahebpet,Challapalle,232.4994349089471
Akasahebpet,Chemmumiahpet,389.00181785910104
Akasahebpet,Chilakalurupet,299.9199953584744
Akasahebpet,Chinnachowk,521.9558209276869
Akasahebpet,Chipurupalle,138.92614125653216
Akasahebpet,Chirala,300.88682657333493
Akasahebpet,Chittoor,593.793699504393
Akasahebpet,Chodavaram,53.20866488427201
Akasahebpet,Cuddapah,533.1696544747563
Akasahebpet,Cumbum,425.8545499848391
Akasahebpet,Darsi,363.0112819046695
Akasahebpet,Dharmavaram,621.5658621869834
Akasahebpet,Dhone,552.8121593490029
Akasahebpet,Diguvametta,462.37262673250825
Akasahebpet,East Godavari,85.80096267089009
Akasahebpet,Elamanchili,31.304583771545584
Akasahebpet,Ellore,178.52642578578585
Akasahebpet,Emmiganur,574.6987191357263
Akasahebpet,Erraguntla,535.3301861585313
Akasahebpet,Etikoppaka,17.755261703521526
Akasahebpet,Gajuwaka,72.30998924114762
Akasahebpet,Ganguvada,208.7191394808962
Akasahebpet,Gannavaram,215.9866676312264
Akasahebpet,Giddalur,454.7194790002781
Akasahebpet,Gokavaram,80.77797586691612
Akasahebpet,Gorantla,645.2388616506611
Akasahebpet,"Govindapuram,Chilakaluripet,Guntur",302.0773059567474
Akasahebpet,Gudivada,205.00198794051175
Akasahebpet,Gudlavalleru,206.12275170634624
Akasahebpet,Gudur,472.5647617151696
Akasahebpet,Guntakal Junction,612.8177018994893
Akasahebpet,Guntur,261.29646213203216
Akasahebpet,Hindupur,679.8228430665182
Akasahebpet,Ichchapuram,286.6436840951427
Akasahebpet,Jaggayyapeta,270.79735948953976
Akasahebpet,Jammalamadugu,535.5607033623764
Akasahebpet,Kadiri,603.7158613121707
Akasahebpet,Kaikalur,178.57952795735426
Akasahebpet,Kakinada,69.81518776276667
Akasahebpet,Kalyandurg,669.8780852311476
Akasahebpet,Kamalapuram,527.0218388517694
Akasahebpet,Kandukur,381.3727248333439
Akasahebpet,Kanigiri,401.0924004966238
Akasahebpet,Kankipadu,225.24236854389864
Akasahebpet,Kanuru,194.49644480975772
Akasahebpet,Kavali,397.74273557855327
Akasahebpet,Kolanukonda,238.52753150262447
Akasahebpet,Kondapalle,236.52548713721643
Akasahebpet,Korukollu,179.0468631079015
Akasahebpet,Kosigi,595.7053131833583
Akasahebpet,Kovvur,104.12063230804993
Akasahebpet,Krishna,190.74276173824884
Akasahebpet,Kuppam,696.4382585681699
Akasahebpet,Kurnool,499.1543801683216
Akasahebpet,Macherla,351.9933927277801
Akasahebpet,Machilipatnam,210.98139267777756
Akasahebpet,Madanapalle,618.6453948021864
Akasahebpet,Madugula,52.84162358712493
Akasahebpet,Mandapeta,98.34596010280279
Akasahebpet,Mandasa,251.30071229189969
Akasahebpet,Mangalagiri,243.71911053708405
Akasahebpet,Markapur,402.6542090993736
Akasahebpet,Nagari,564.2474954355856
Akasahebpet,Nagireddipalli,516.3374049371495
Akasahebpet,Nandigama,255.60264442242766
Akasahebpet,Nandikotkur,493.31155218453
Akasahebpet,Nandyal,490.1060032413161
Akasahebpet,Narasannapeta,186.2673474516159
Akasahebpet,Narasapur,150.58595266507166
Akasahebpet,Narasaraopet,302.72942465634674
Akasahebpet,Narasingapuram,555.7629465212965
Akasahebpet,Narayanavanam,554.4857284192829
Akasahebpet,Narsipatnam,18.7331044235963
Akasahebpet,Nayudupet,491.64763031597283
Akasahebpet,Nellore,496.51589487784923
Akasahebpet,Nidadavole,115.95703333266799
Akasahebpet,Nuzvid,199.34612157252707
Akasahebpet,Ongole,348.9399452143564
Akasahebpet,Pakala,583.1422518294678
Akasahebpet,Palakollu,141.30340207622913
Akasahebpet,Palasa,240.52483586335794
Akasahebpet,Palkonda,175.37895382893583
Akasahebpet,Pallevada,169.95461144004204
Akasahebpet,Palmaner,629.8134256757613
Akasahebpet,Parlakimidi,214.5363574747497
Akasahebpet,Parvatipuram,168.78903539911224
Akasahebpet,Pavuluru,314.8716424663748
Akasahebpet,Pedana,205.37407605967485
Akasahebpet,pedda nakkalapalem,314.19735813578967
Akasahebpet,Peddapuram,65.73554185608576
Akasahebpet,Penugonda,128.67690488707387
Akasahebpet,Penukonda,653.8881894986437
Akasahebpet,Phirangipuram,279.79095513485225
Akasahebpet,Pippara,139.0415956029682
Akasahebpet,Pithapuram,54.44224980560702
Akasahebpet,Polavaram,101.95662434412093
Akasahebpet,Ponnur,267.3666033777538
Akasahebpet,Ponnuru,267.52445454891443
Akasahebpet,Prakasam,395.6203471664137
Akasahebpet,Proddatur,527.2076628611201
Akasahebpet,Pulivendla,576.9144263268523
Akasahebpet,Punganuru,628.3853686519759
Akasahebpet,Puttaparthi,629.6339847911819
Akasahebpet,Puttur,555.2156995864423
Akasahebpet,Rajahmundry,100.43752844971382
Akasahebpet,Ramachandrapuram,93.69225765859188
Akasahebpet,Ramanayyapeta,71.26452684780077
Akasahebpet,Ramapuram,558.5299099175922
Akasahebpet,Rampachodavaram,84.1305927018411
Akasahebpet,Rayachoti,559.9552709825292
Akasahebpet,Rayadrug,685.3731585442837
Akasahebpet,Razam,156.23427437238846
Akasahebpet,Razampeta,517.8402849410584
Akasahebpet,Razole,138.03109418525037
Akasahebpet,Renigunta,538.9604373920348
Akasahebpet,Repalle,247.96026377322835
Akasahebpet,Salur,131.34375609254997
Akasahebpet,Samalkot,64.73264274605495
Akasahebpet,Sattenapalle,284.89677219876444
Akasahebpet,Singarayakonda,370.4727124624917
Akasahebpet,Sompeta,266.5941264059542
Akasahebpet,Srikakulam,166.28854848755313
Akasahebpet,Srisailain,424.63584194550765
Akasahebpet,Suluru,503.46384579673986
Akasahebpet,Tadepalle,237.90567887022473
Akasahebpet,Tadepallegudem,134.40753348394975
Akasahebpet,Tadpatri,565.5975170702256
Akasahebpet,Tanuku,125.66887998292152
Akasahebpet,Tekkali,214.80709714162555
Akasahebpet,Tirumala,546.9189632477298
Akasahebpet,Tirupati,546.4380506886554
Akasahebpet,Tuni,16.316021086129748
Akasahebpet,Uravakonda,634.4678666456006
Akasahebpet,vadlamuru,62.253899565227826
Akasahebpet,Vadlapudi,461.81412947353783
Akasahebpet,Venkatagiri,507.3564457344549
Akasahebpet,Vepagunta,75.29084092465375
Akasahebpet,Vetapalem,307.39091957657774
Akasahebpet,Vijayawada,232.25974086126956
Akasahebpet,Vinukonda,341.43424129980434
